T26,Water supply and sanitation services,,,,,
116,Cambodia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",19.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",51.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",14.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",21.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",55.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",15.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",24.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
124,Canada,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",74.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
124,Canada,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",76.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
124,Canada,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",76.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
830,Channel Islands,2010,"Safely managed drinking water sources, total (Proportion of population with access)",92.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
830,Channel Islands,2015,"Safely managed drinking water sources, total (Proportion of population with access)",92.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",98.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2005,"Safely managed drinking water sources, total (Proportion of population with access)",94.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",52.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",45.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",66.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",65.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",98.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",81.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
152,Chile,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",85.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
156,China,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",93.2,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
156,China,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",38.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
156,China,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",33.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
